centre_profiles,window_length,IC
118,42,17.7955301675316
124,32,17.6182130630213
180,48,16.8019715940388
302,38,16.736603645995
333,146,23.41622480909
693,98,16.7399631152939
1021,186,17.4555076636777
1070,176,39.3773584244391
1093,46,23.0772124933944
1110,76,26.6559938219623
1117,198,37.8947618888254
1133,44,17.4969053345696
1190,34,17.4288035000205
1199,50,17.8819857086423
1249,80,18.3119770023968
1320,90,28.1182863985787
1383,78,27.1009752700706
1668,74,23.6588497160093
1689,74,19.6173676123404
