centre_profiles,window_length,IC
110,64,19.0519693726122
131,84,17.9187383746524
155,78,32.6176705949734
182,64,23.9285977553217
247,78,20.359254120932
270,96,16.8181718595845
297,88,31.2212970377229
322,64,16.2855380371703
356,76,11.27657041346
476,38,17.9688195558007
585,64,11.3166828120819
711,100,30.4816662045236
730,64,28.6820597877724
881,64,12.1857660986123
1093,64,20.3585928506503
1115,98,24.9197926936174
1135,76,23.9673606012863
1305,64,16.9119665421071
1347,98,29.258600770478
1367,98,32.530154080339
1388,110,30.1167448342786
1590,56,13.3797338494113
1631,64,13.0217101118414
1675,64,12.1288583052949
1973,64,11.824200495658
2014,64,20.5749035540516
2080,64,17.5812765575672
2108,64,19.6816342575432
2129,64,13.0242540332773
2417,52,13.0115083771639
2448,118,30.7504466082391
2470,64,28.3649430571358
2497,90,28.1458985395956
2518,64,21.5209436925861
2843,64,23.8603023312026
3189,64,19.8059550823512
3216,64,21.3894776675794
3320,64,15.3060382345979
3340,64,12.2952255469807
3363,64,16.6423085360787
3383,64,26.393357351756
3620,64,11.3764253743766
3641,64,26.2741812259508
3663,114,29.2542010311231
3688,78,25.3549195354994
3895,82,24.7099573323874
3917,106,25.2837421039878
3939,64,22.3416739187237
4054,64,12.4263620686532
4303,84,29.9225830830468
4322,120,34.983292079339
4344,176,38.1009308787207
4363,64,15.8716724364084
4398,76,32.9220261397141
4418,64,28.1188440782661
4438,64,27.6336077085591
4457,120,34.6106553527855
4478,64,29.0417187482459
4771,110,31.2884955315105
4794,80,27.8405701009997
5012,64,28.2988449960894
5179,78,28.4493918837622
5203,44,21.7604540714891
5656,64,28.2527263883358
5781,64,11.6328939395474
5802,64,12.4736017121395
5921,64,22.235313601477
5940,78,24.8299664486822
5987,172,33.6465541169472
6012,124,35.6505277879016
6040,64,27.5011091856811
